"b1-nummer","achternaam","voorletters","voorna(a)m(en)","roepnaam","prepositie","geslacht","partij(en)/fractie(s)","functie","bijzondere functie(s)","post(en) in kabinet(ten)","naam kabinet(ten)","begin periode","einde periode","url"
"00795","Leeuwen","J.","Johanna","Hannie","van","v","CDA","1e kamerlid","","","","1995-06-13","1999-06-07","http://www.parlementairdocumentatiecentrum.nl/id/vg09ll2qr6qm"
"00795","Leeuwen","J.","Johanna","Hannie","van","v","CDA","1e kamerlid","","","","1999-06-08","2003-06-09","http://www.parlementairdocumentatiecentrum.nl/id/vg09ll2qr6qm"
"00795","Leeuwen","J.","Johanna","Hannie","van","v","CDA","1e kamerlid","","","","2003-06-10","2007-06-11","http://www.parlementairdocumentatiecentrum.nl/id/vg09ll2qr6qm"
"00928","Mierlo","H.A.F.M.O.","Henricus Antonius Franciscus Maria Oliva","Hans","van","m","D66","2e kamerlid","","","","1998-05-19","1998-08-17","http://www.parlementairdocumentatiecentrum.nl/id/vg09ll3f8zzn"
"00928","Mierlo","H.A.F.M.O.","Henricus Antonius Franciscus Maria Oliva","Hans","van","m","D66","minister","","Buitenlandse Zaken","eerste kabinet-Kok","1994-08-22","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09ll3f8zzn"
"00928","Mierlo","H.A.F.M.O.","Henricus Antonius Franciscus Maria Oliva","Hans","van","m","D66","minister","","Viceminister-president","eerste kabinet-Kok","1994-08-22","1998-08-02","http://www.parlementairdocumentatiecentrum.nl/id/vg09ll3f8zzn"
