naam, type, uri, functie
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#19,"lid bestuur Stichting Wereldfoundation, vanaf 3 oktober 2013"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#20,"lid Raad van Advies Afûk Leeuwarden, vanaf 1 september 2013"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#21,"lid Raad van Advies Arriva, vanaf 1 januari 2013"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#22,"lid Raad van Advies Eneco Tour, vanaf januari 2013"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#23,"adviseur Van Wijnen Groep, vanaf 1 mei 2014"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#24,"adviseur sportbeleid Provincie Limburg, vanaf 23 september 2014"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#25,"voorzitter Stuurgroep Sluis Kornwerderzand, vanaf 10 december 2014"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#26,"directeur adviesbureau Comoraat BV, vanaf 1 januari 2013"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#27,"informateur vorming dagelijks bestuur 2015-2018, wetterskip Fryslân"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#28,"voorzitter Raad van Commissarissen ijsstadion \"Thialf\""
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#29,"voorzitter Raad van Toezicht NNO (Noord Nederlands Orkest)"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#30,"lid Raad van Advies \"Boomers Top Generation\""
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#31,"lid Raad van Advies Arriva"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#32,"lid bestuur Stichting Christelijke Pers (Trouw)"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#33,"lid dagelijks bestuur Internationaal Perscentrum Nieuwspoort"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#34,"voorzitter Friese Plattelands Alliantie"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#35,"lid bestuur Stichting Machiavelli"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#36,"voorzitter Stuurgroep Schoolfruit"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#37,"lid begeleidingscommissie evaluatie Raad Landelijk Gebied"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#38,"voorzitter Klankbordgroep informatievoorziening, IPO (Interprovinciaal Overleg)"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#39,"lid bestuur stichting Oud-Achtkarspelen"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#40,"lid bestuur vereniging Spaar- en Voorschotbank Surhuisterveen"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#41,"lid bestuur Vereniging SpaVo - Spavofonds"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#42,"lid bestuur Munt- en Penningkabinet Surhuisterveen"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#43,"voorzitter Nederlandse delegatie Inter Parlementaire Unie (IPU)"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#44,"lid hoofdbestuur UCI (Union Cycliste Internationale)"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#45,"voorzitter Road Commission UCI"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#46,"voorzitter Professional Council UCI"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#47,"voorzitter KNWU (Koninklijke Nederlandse Wielrenunie)"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#48,"voorzitter sectie amateurwielrennen, KNWU (Koninklijke Nederlandse Wielrenunie)"
