naam, type, uri, functie
Malik Azmani,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/azmani-m-vvd#14,"Directielid Klantdirectie Regulier Sociaal, Ministerie van Justitie 2009-2010"
Farshad Bashir,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bashir-f-sp#1,"fiscaal recht, Rijksuniversiteit Leiden, van 2008 tot 2010"
Farshad Bashir,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bashir-f-sp#2,"basisschool \"De Gielguorde\" te Mantgum, tot juni 2000"
Farshad Bashir,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bashir-f-sp#3,"VWO, RSG Magister Alvinus te Sneek 2000-2006"
Farshad Bashir,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bashir-f-sp#4,"Bachelor wis- en natuurkunde, Rijksuniversiteit Groningen 2006-2009"
Farshad Bashir,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bashir-f-sp#5,"lid Tweede Kamer der Staten-Generaal, vanaf 15 januari 2008"
Farshad Bashir,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bashir-f-sp#6,"lid gemeenteraad van Leeuwarden, van 16 maart 2006 tot 15 januari 2008"
Harm Beertema,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/beertema-hj-pvv#1,"HBS-A"
Harm Beertema,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/beertema-hj-pvv#2,"Lerarenopleiding Nederlands en Engels"
Harm Beertema,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/beertema-hj-pvv#3,"Statenlid voor de Provinciale Staten van Zuid-Holland (van 17-03-2011 t/m 15-07-2011)"
Harm Beertema,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/beertema-hj-pvv#4,"Leraar Nederlands en Engels"
Harm Beertema,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/beertema-hj-pvv#5,"Teamleider Secretariële opleidingen, ROC Albeda College, Rotterdam-Zuid"
Harm Beertema,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/beertema-hj-pvv#6,"Bestuurslid met portefeuille vmbo-mbo en politieke contacten, Beter Onderwijs Nederland (BON)"
Ybeltje Berckmoes-Duindam,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/berckmoes-duindam-y-vvd#1,"VWO, Pieter Groen College Katwijk 1979-1985"
Ybeltje Berckmoes-Duindam,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/berckmoes-duindam-y-vvd#2,"Scapino Ballet Academie, Theaterschool Amsterdam 1985-1986"
Ybeltje Berckmoes-Duindam,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/berckmoes-duindam-y-vvd#3,"Geschiedenis (propedeuse), Europese Studies (doctoraal), Universiteit van Amsterdam 1986-1992"
Ybeltje Berckmoes-Duindam,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/berckmoes-duindam-y-vvd#4,"NIMA A Sales 2001"
Ybeltje Berckmoes-Duindam,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/berckmoes-duindam-y-vvd#5,"NIMA B Marketing 2009"
Ybeltje Berckmoes-Duindam,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/berckmoes-duindam-y-vvd#6,"Stafmedewerker, Academisch Medisch Centrum Amsterdam 1992-2001"
Ybeltje Berckmoes-Duindam,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/berckmoes-duindam-y-vvd#7,"Marketing en sales in de farmaceutische industrie, resp. Lilly Nederland, Servier, Daiichi Sankyo 2001-2011"
Ybeltje Berckmoes-Duindam,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/berckmoes-duindam-y-vvd#8,"Gemeenteraadslid VVD, gemeente Den Helder 2006-2011"
Ybeltje Berckmoes-Duindam,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/berckmoes-duindam-y-vvd#9,"Lid Raad van Toezicht, De Helderse Vallei 2009-heden"
Vera Bergkamp,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bergkamp-va-d66#1,"VWO, Scholengemeenschap Sint-Nicolaaslyceum, Amsterdam 1984-1989"
Vera Bergkamp,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bergkamp-va-d66#2,"HBO Personeel en Arbeid, Hogeschool van Amsterdam 1990-1994"
Vera Bergkamp,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bergkamp-va-d66#3,"Bestuurskunde/politicologie, richting organisatie en management, Vrije Universiteit, Amsterdam 1994-1996"
Vera Bergkamp,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bergkamp-va-d66#4,"Raadslid gemeente Amsterdam (vanaf maart 2010 t/m september 2012)"
Vera Bergkamp,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bergkamp-va-d66#5,"Extern organisatieadviseur, DIN Adviesgroep, Baarn 1994-1996"
Vera Bergkamp,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bergkamp-va-d66#6,"Extern organisatieadviseur, United Consultants to Management, Amsterdam 1997-1998"
Vera Bergkamp,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bergkamp-va-d66#7,"Manager Organisatie en Management Development, Centraal Bureau Rijvaardigheidsbewijzen, Rijswijk 1999-2001"
Vera Bergkamp,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bergkamp-va-d66#8,"Adjunct directeur, Centraal Bureau Rijvaardigheidsbewijzen, Rijswijk 2001-2004"
Vera Bergkamp,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bergkamp-va-d66#9,"Directeur Ondersteuning, Amsterdam Thuiszorg 2005-2008"
Vera Bergkamp,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bergkamp-va-d66#10,"Directeur Human Resource, Sociale Verzekeringsbank 2008-2012"
Roelof Bisschop,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bisschop-r-sgp#1,"MO-opleiding docent geschiedenis 1ste en 2de graads 1975-1982"
Roelof Bisschop,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bisschop-r-sgp#2,"Doctoraal geschiedenis 1982-1984"
Roelof Bisschop,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bisschop-r-sgp#3,"Promotieonderzoek (promotie 5 maart 1993 te Utrecht) 1986-1993"
Roelof Bisschop,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bisschop-r-sgp#4,"Post-HBO Registeropleiding Management voor non-profit instellingen, Christelijke Hogeschool Ede 2002-2003"
Roelof Bisschop,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bisschop-r-sgp#5,"Docent geschiedenis en vanaf 1998 ook afdelingsleider onderbouw, Ichthus College Veenendaal 1978-2002"
Roelof Bisschop,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bisschop-r-sgp#6,"Docent geschiedenis, Driestar College Gouda 1979-1982"
Roelof Bisschop,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bisschop-r-sgp#7,"Freelance docent kerkgeschiedenis, Evangelische Hogeschool en Christelijke Hogeschool De Driestar 1985-2007"
Roelof Bisschop,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bisschop-r-sgp#8,"Seniordirecteur bovenbouw, Ichthus College Veenendaal 2002-2008"
Roelof Bisschop,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bisschop-r-sgp#9,"Directeur Wartburg College, Rotterdam 2008-2012"
Betty de Boer,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/boer-bg-de-vvd#1,"HAVO, Drachtster Lyceum, Drachten, 1983-1988"
Betty de Boer,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/boer-bg-de-vvd#2,"VWO, Drachtster Lyceum, Drachten 1988-1990"
Betty de Boer,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/boer-bg-de-vvd#3,"Juridische Bestuurswetenschappen (richting binnenlands bestuur en extra vakken internationaal en milieurecht), Rijksuniversiteit Groningen 1990-1996"
Betty de Boer,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/boer-bg-de-vvd#4,"Medewerker juridische en administratieve zaken, oliehandelsmaatschappij North Sea Holding BV 1996-1997"
Betty de Boer,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/boer-bg-de-vvd#5,"Accountmanager detailhandel en kantoren, afdeling Economische Zaken, gemeente Emmen 1997-2000"
Betty de Boer,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/boer-bg-de-vvd#6,"Senior jurist, Bureau Landinrichting en Water, provincie Groningen 2000-2003"
Betty de Boer,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/boer-bg-de-vvd#7,"Gemeenteraadslid VVD Groningen 2002-2010"
Betty de Boer,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/boer-bg-de-vvd#8,"(Interim)projectmanager, TPG Pakketservice, Hoofddorp 2003-2004"
Betty de Boer,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/boer-bg-de-vvd#9,"Consultant De Boer Consultancy 2004-2010 (opdrachten voor overheid en bedrijfsleven)"
Betty de Boer,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/boer-bg-de-vvd#10,"Lid Rekenkamercommissie, gemeente Groningen 2005-2007"
Harry van Bommel,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bommel-h-van-sp#1,"HAVO, R.K. Thomas à Kempiscollege, Zwolle 1974-1981"
Harry van Bommel,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bommel-h-van-sp#2,"Lerarenopleiding Nederlands en Engels, Christelijke Lerarenopleiding, Zwolle 1982-1987"
Harry van Bommel,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bommel-h-van-sp#3,"Cursus cafébedrijf, Utrecht 1982"
Harry van Bommel,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bommel-h-van-sp#4,"Politicologie, Universiteit van Amsterdam 1987-1994"
Harry van Bommel,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bommel-h-van-sp#5,"Lid stadsdeelraad Amsterdam-Oost 1990-1994"
Harry van Bommel,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bommel-h-van-sp#6,"Medewerker partijbureau SP 1991-1994"
Harry van Bommel,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bommel-h-van-sp#7,"Leraar Nederlands en Engels mbo 1992-1994"
Harry van Bommel,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bommel-h-van-sp#8,"Beleidsmedewerker SP Tweede Kamerfractie 1994-1998"
Harry van Bommel,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bommel-h-van-sp#9,"Gemeenteraadslid SP Amsterdam 1994-1998; eerste SP'er in de Amsterdamse gemeenteraad"
Louis Bontes,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bontes-l-grbvk#1,"HBO Voortgezet management voor non-profit organisaties, ISBW 1998"
Louis Bontes,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bontes-l-grbvk#2,"Leergang leidinggeven, Nederlandse Politie Academie 2000"
Louis Bontes,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bontes-l-grbvk#3,"HBO Bestuurskunde/overheidsmanagement (Bachelor Public Management), Haagse Hogeschool 2003"
Louis Bontes,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bontes-l-grbvk#4,"Bestuurs- en organisatiewetenschap, Universiteit Utrecht (cum laude) 2006"
Louis Bontes,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bontes-l-grbvk#5,"Medewerker en voorman, diverse scheepswerven in Rijnmondgebied"
Louis Bontes,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bontes-l-grbvk#6,"Wachtmeester der Rijkspolitie, Sprang-Capelle"
Louis Bontes,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bontes-l-grbvk#7,"Politieagent in Rotterdam-Rijnmond"
Louis Bontes,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bontes-l-grbvk#8,"Inspecteur van politie in Rotterdam-Rijnmond"
Louis Bontes,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bontes-l-grbvk#9,"Hoofdinspecteur van politie in Rotterdam-Rijnmond"
Louis Bontes,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bontes-l-grbvk#10,"Districtscommandant veiligheidsregio (verantwoordelijk voor industriële veiligheid in het haven- en industriegebied van Rotterdam-Rijnmond)"
Louis Bontes,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bontes-l-grbvk#11,"Lid Europees Parlement 2009- 2010"
Martin Bosma,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bosma-m-pvv#1,"VWO 1985"
Martin Bosma,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bosma-m-pvv#2,"Doctoraal Politicologie (bestuurskunde), Universiteit van Amsterdam 1990"
Martin Bosma,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bosma-m-pvv#3,"Master Sociology (liberal studies), New School for Social Research, New York 1992"
Martin Bosma,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bosma-m-pvv#4,"Journalist bij o.a. De Zaanlander, CNN, ABC News, RTL New York, NOS Journaal, Veronica Nieuwsradio, Wereldomroep 1981-1999"
Martin Bosma,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bosma-m-pvv#5,"Manager, Cameo Newsbites 2000-2001"
Martin Bosma,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bosma-m-pvv#6,"Directeur Nederlandse Radio Groep (oa exploitant van r&b-zender Colorful Radio) 2002-2003"
Martin Bosma,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bosma-m-pvv#7,"Politiek secretaris Groep Wilders 2004-2006"
André Bosman,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bosman-vvd#1,"MAVO 1977-1981"
André Bosman,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bosman-vvd#2,"HAVO 1981-1984"
André Bosman,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bosman-vvd#3,"VWO (staatsexamen) certificaten voor Engels, Nederlands en geschiedenis 1984-1986"
André Bosman,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bosman-vvd#4,"Propedeuse politicologie"
André Bosman,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bosman-vvd#5,"Instructeur T-38, Wichita Falls, Texas VS 1989-1991"
André Bosman,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bosman-vvd#6,"Squadron scheduler 90th Flying Squadron, lid van Check Section 1991-1992"
André Bosman,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bosman-vvd#7,"Runway supervisor Unit Training and Standardization Officer (RSUTO), lid van Standardization and Evaluation (StanEval) van de 80th Flying Training Wing 1992-1993"
André Bosman,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bosman-vvd#8,"Squadronvlieger F-16, 312 Squadron, Volkel 1994-1995"
André Bosman,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bosman-vvd#9,"Vlieginstructeur PC-7 1995-1997"
André Bosman,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bosman-vvd#10,"Vlieginstructeur T-38 1998"
André Bosman,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bosman-vvd#11,"Wing scheduler 1999"
André Bosman,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bosman-vvd#12,"Vluchtcommandant (PIT), Supervisor of Flying (SOF) 1999-2000"
André Bosman,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bosman-vvd#13,"Assistant director of Operations (ADO) T-38, 88th Flying Training Squadron, vluchtevaluator voor vliegtesten van toekomstige instructeurs, verantwoordelijk voor aangepast vliegprogramma van General Officers 2000-2001"
André Bosman,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bosman-vvd#14,"Vlieginstructeur PC-7 2001-2002"
André Bosman,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bosman-vvd#15,"Vluchtcommandant Vlieg Instructeurs Opleiding (VIO) (PIT) 2002-2003"
André Bosman,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bosman-vvd#16,"Standaardisatie- en evaluatie-officier, Koninklijke Militaire School Luchtmacht 2004-2009"
André Bosman,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bosman-vvd#17,"Liaison officier, Hoofdkwartier ISAF (International Security Assistance Force), Kaboel (Afghanistan) 2006"
André Bosman,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bosman-vvd#18,"Vlieginstructeur T38C, Sheppard Luchtmachtbasis, Texas VS 2009-2010"
Lea Bouwmeester,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bouwmeester-lt-pvda#1,"MBO sociaal-juridische dienstverlening, ROC Zwolle/Amersfoort"
Lea Bouwmeester,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bouwmeester-lt-pvda#2,"HBO sociaal-juridische dienstverlening, Hogeschool van Amsterdam"
Lea Bouwmeester,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bouwmeester-lt-pvda#3,"Gemeenteraadslid PvdA Almere 2002-2006"
